bus,total,light,medium,heavy
 17,280,320,290,220
 41,300,330,310,230
 49,340,320,290,210
 77,290,330,300,210
 91,390,340,310,220
 93,360,310,280,200
 96,480,340,300,230
 97,400,300,280,210
 118,440,420,380,280
 121,580,350,310,230
 122,130,400,370,280
 123,230,340,310,230
 130,210,310,280,210
 131,380,300,280,210
 136,420,330,290,220
 145,340,350,310,230
 149,380,300,280,200
 150,280,330,300,230
 170,490,350,330,240
 180,270,300,280,210
 197,410,340,310,230
 210,480,320,300,240
 240,490,330,300,220
 290,530,350,300,220
 336,390,310,280,210
 350,550,340,300,220
 400,220,320,300,210
 412,380,300,280,200
 420,300,300,280,200
 460,320,300,280,200
 490,370,300,280,200
 506,390,350,310,230
 512,260,350,310,220
 529,400,350,310,230
 550,420,350,310,230
 590,260,320,290,230
 611,420,330,300,230
 630,310,320,300,200
 650,320,380,330,250
 690,420,330,300,200
 k41,410,340,310,230
 k49,110,350,320,250
 k122,360,340,290,200
 K511,360,330,290,210
